year,rec,ssb
2000,398204,17306
2001,449757,29186
2002,794417,36181
2003,216734,25237
2004,279581,43258
2005,269409,29425
2006,199665,23503
2007,703294,24848
2008,367760,23850
2009,1738552,36168
2010,215775,37358
2011,56642,85188
2012,40546,68042
2013,530150,40647
2014,119004,24854
2015,450962,38298
2016,44344,28251
