year,tac
2000,22200
2001,21000
2002,31700
2003,27000
2004,27000
2005,21600
2006,19940
2007,19940
2008,19940
2009,16949
2010,14407
2011,16658
2012,19053
2013,24500
2014,19162
2015,17742
2016,22778
