year,tac
2000,16600
2001,12000
2002,9300
2003,8185
2004,9600
2005,11520
2006,11520
2007,11520
2008,11579
2009,11579
2010,11579
2011,13316
2012,16645
2013,14148
2014,9479
2015,8342
2016,7258
