"age","year","unit","season","area","iter","data"
0,2000,1,1,"unique",1,0
0,2001,1,1,"unique",1,0
0,2002,1,1,"unique",1,0
0,2003,1,1,"unique",1,0
0,2004,1,1,"unique",1,0
0,2005,1,1,"unique",1,0
0,2006,1,1,"unique",1,0
0,2007,1,1,"unique",1,6.929
0,2008,1,1,"unique",1,0
0,2009,1,1,"unique",1,0
0,2010,1,1,"unique",1,0
0,2011,1,1,"unique",1,0
0,2012,1,1,"unique",1,0
0,2013,1,1,"unique",1,0
0,2014,1,1,"unique",1,0
0,2015,1,1,"unique",1,0.024
0,2016,1,1,"unique",1,1.644
1,2000,1,1,"unique",1,0
1,2001,1,1,"unique",1,0
1,2002,1,1,"unique",1,0
1,2003,1,1,"unique",1,164.464
1,2004,1,1,"unique",1,183.361
1,2005,1,1,"unique",1,116.4
1,2006,1,1,"unique",1,25.811
1,2007,1,1,"unique",1,80.756
1,2008,1,1,"unique",1,139.114
1,2009,1,1,"unique",1,42.102
1,2010,1,1,"unique",1,71.729
1,2011,1,1,"unique",1,39.593
1,2012,1,1,"unique",1,3.539
1,2013,1,1,"unique",1,4.695
1,2014,1,1,"unique",1,278.772
1,2015,1,1,"unique",1,33.141
1,2016,1,1,"unique",1,232.466
2,2000,1,1,"unique",1,0
2,2001,1,1,"unique",1,0
2,2002,1,1,"unique",1,0
2,2003,1,1,"unique",1,1087.947
2,2004,1,1,"unique",1,473.909
2,2005,1,1,"unique",1,964.65
2,2006,1,1,"unique",1,925.024
2,2007,1,1,"unique",1,569.167
2,2008,1,1,"unique",1,832.981
2,2009,1,1,"unique",1,926.769
2,2010,1,1,"unique",1,516.517
2,2011,1,1,"unique",1,539.736
2,2012,1,1,"unique",1,232.019
2,2013,1,1,"unique",1,87.136
2,2014,1,1,"unique",1,256.235
2,2015,1,1,"unique",1,2853.071
2,2016,1,1,"unique",1,629.679
3,2000,1,1,"unique",1,0
3,2001,1,1,"unique",1,0
3,2002,1,1,"unique",1,0
3,2003,1,1,"unique",1,1428.579
3,2004,1,1,"unique",1,1051.475
3,2005,1,1,"unique",1,1329.8
3,2006,1,1,"unique",1,924.572
3,2007,1,1,"unique",1,1086.339
3,2008,1,1,"unique",1,1251.452
3,2009,1,1,"unique",1,1519.873
3,2010,1,1,"unique",1,1164.253
3,2011,1,1,"unique",1,968.315
3,2012,1,1,"unique",1,1125.761
3,2013,1,1,"unique",1,408.858
3,2014,1,1,"unique",1,927.838
3,2015,1,1,"unique",1,1165.796
3,2016,1,1,"unique",1,3417.332
4,2000,1,1,"unique",1,0
4,2001,1,1,"unique",1,0
4,2002,1,1,"unique",1,0
4,2003,1,1,"unique",1,934.278
4,2004,1,1,"unique",1,716.258
4,2005,1,1,"unique",1,542.906
4,2006,1,1,"unique",1,370.969
4,2007,1,1,"unique",1,668.572
4,2008,1,1,"unique",1,550.446
4,2009,1,1,"unique",1,840.338
4,2010,1,1,"unique",1,627.804
4,2011,1,1,"unique",1,774.513
4,2012,1,1,"unique",1,604.978
4,2013,1,1,"unique",1,1052.946
4,2014,1,1,"unique",1,800.824
4,2015,1,1,"unique",1,927.174
4,2016,1,1,"unique",1,1167.341
5,2000,1,1,"unique",1,0
5,2001,1,1,"unique",1,0
5,2002,1,1,"unique",1,0
5,2003,1,1,"unique",1,133.602
5,2004,1,1,"unique",1,325.732
5,2005,1,1,"unique",1,499.392
5,2006,1,1,"unique",1,145.128
5,2007,1,1,"unique",1,167.76
5,2008,1,1,"unique",1,114.816
5,2009,1,1,"unique",1,248.472
5,2010,1,1,"unique",1,181.307
5,2011,1,1,"unique",1,223.895
5,2012,1,1,"unique",1,238.952
5,2013,1,1,"unique",1,484.882
5,2014,1,1,"unique",1,1120.112
5,2015,1,1,"unique",1,529.331
5,2016,1,1,"unique",1,581.622
6,2000,1,1,"unique",1,0
6,2001,1,1,"unique",1,0
6,2002,1,1,"unique",1,0
6,2003,1,1,"unique",1,10.46
6,2004,1,1,"unique",1,32.274
6,2005,1,1,"unique",1,354.89
6,2006,1,1,"unique",1,105.394
6,2007,1,1,"unique",1,39.592
6,2008,1,1,"unique",1,36.752
6,2009,1,1,"unique",1,60.91
6,2010,1,1,"unique",1,41.566
6,2011,1,1,"unique",1,45.798
6,2012,1,1,"unique",1,50.631
6,2013,1,1,"unique",1,144.888
6,2014,1,1,"unique",1,215.888
6,2015,1,1,"unique",1,517.084
6,2016,1,1,"unique",1,235.295
7,2000,1,1,"unique",1,0
7,2001,1,1,"unique",1,0
7,2002,1,1,"unique",1,0
7,2003,1,1,"unique",1,0.058
7,2004,1,1,"unique",1,1.339
7,2005,1,1,"unique",1,12.557
7,2006,1,1,"unique",1,53.136
7,2007,1,1,"unique",1,25.27
7,2008,1,1,"unique",1,4.246
7,2009,1,1,"unique",1,10.868
7,2010,1,1,"unique",1,11.17
7,2011,1,1,"unique",1,19.112
7,2012,1,1,"unique",1,7.668
7,2013,1,1,"unique",1,23.326
7,2014,1,1,"unique",1,33.408
7,2015,1,1,"unique",1,112.668
7,2016,1,1,"unique",1,252.456
8,2000,1,1,"unique",1,0
8,2001,1,1,"unique",1,0
8,2002,1,1,"unique",1,0
8,2003,1,1,"unique",1,0
8,2004,1,1,"unique",1,0.004
8,2005,1,1,"unique",1,1.005
8,2006,1,1,"unique",1,4.162
8,2007,1,1,"unique",1,2.204
8,2008,1,1,"unique",1,5.613
8,2009,1,1,"unique",1,2.855
8,2010,1,1,"unique",1,2.107
8,2011,1,1,"unique",1,2.265
8,2012,1,1,"unique",1,2.184
8,2013,1,1,"unique",1,4.08
8,2014,1,1,"unique",1,4.4
8,2015,1,1,"unique",1,8.589
8,2016,1,1,"unique",1,149.156
9,2000,1,1,"unique",1,0
9,2001,1,1,"unique",1,0
9,2002,1,1,"unique",1,0
9,2003,1,1,"unique",1,0
9,2004,1,1,"unique",1,0
9,2005,1,1,"unique",1,0
9,2006,1,1,"unique",1,0.068
9,2007,1,1,"unique",1,0.014
9,2008,1,1,"unique",1,0.762
9,2009,1,1,"unique",1,0
9,2010,1,1,"unique",1,0.144
9,2011,1,1,"unique",1,0.047
9,2012,1,1,"unique",1,0
9,2013,1,1,"unique",1,0.273
9,2014,1,1,"unique",1,0
9,2015,1,1,"unique",1,4.097
9,2016,1,1,"unique",1,73.206
10,2000,1,1,"unique",1,0
10,2001,1,1,"unique",1,0
10,2002,1,1,"unique",1,0
10,2003,1,1,"unique",1,0
10,2004,1,1,"unique",1,0
10,2005,1,1,"unique",1,0
10,2006,1,1,"unique",1,0
10,2007,1,1,"unique",1,0
10,2008,1,1,"unique",1,0
10,2009,1,1,"unique",1,0
10,2010,1,1,"unique",1,0
10,2011,1,1,"unique",1,0
10,2012,1,1,"unique",1,0
10,2013,1,1,"unique",1,0
10,2014,1,1,"unique",1,0
10,2015,1,1,"unique",1,0
10,2016,1,1,"unique",1,0
11,2000,1,1,"unique",1,0
11,2001,1,1,"unique",1,0
11,2002,1,1,"unique",1,0
11,2003,1,1,"unique",1,0
11,2004,1,1,"unique",1,0
11,2005,1,1,"unique",1,0
11,2006,1,1,"unique",1,0
11,2007,1,1,"unique",1,0
11,2008,1,1,"unique",1,0
11,2009,1,1,"unique",1,0.055
11,2010,1,1,"unique",1,0
11,2011,1,1,"unique",1,0
11,2012,1,1,"unique",1,0
11,2013,1,1,"unique",1,0
11,2014,1,1,"unique",1,0
11,2015,1,1,"unique",1,0
11,2016,1,1,"unique",1,0
