year,rec,ssb
2000,1357759,42405
2001,623570,50581
2002,717424,57285
2003,971252,44974
2004,988436,38920
2005,897849,40600
2006,775656,34313
2007,986692,29709
2008,1301691,25724
2009,1897256,34918
2010,829944,49971
2011,855666,78700
2012,634499,85208
2013,2097669,79409
2014,637380,68013
2015,808397,86890
2016,749497,66195
